mapTarget,mapTargetName
M71.072,"Abscess of bursa, left ankle and foot"
M71.071,"Abscess of bursa, right ankle and foot"
M65.071,"Abscess of tendon sheath, right ankle and foot"
P39.9,"Infection specific to the perinatal period, unspecified"
M71.041,"Abscess of bursa, right hand"
M65.041,"Abscess of tendon sheath, right hand"
M71.042,"Abscess of bursa, left hand"
M65.042,"Abscess of tendon sheath, left hand"
M65.032,"Abscess of tendon sheath, left forearm"
M65.031,"Abscess of tendon sheath, right forearm"
I50.1,"Left ventricular failure, unspecified"
A46,Erysipelas
L03.114,Cellulitis of left upper limb
L03.113,Cellulitis of right upper limb
L89.311,"Pressure ulcer of right buttock, stage 1"
L89.321,"Pressure ulcer of left buttock, stage 1"
L89.301,"Pressure ulcer of unspecified buttock, stage 1"
L89.312,"Pressure ulcer of right buttock, stage 2"
L89.322,"Pressure ulcer of left buttock, stage 2"
L89.302,"Pressure ulcer of unspecified buttock, stage 2"
M89.669,"Osteopathy after poliomyelitis, unspecified lower leg"
L89.313,"Pressure ulcer of right buttock, stage 3"
L89.323,"Pressure ulcer of left buttock, stage 3"
L89.303,"Pressure ulcer of unspecified buttock, stage 3"
L89.314,"Pressure ulcer of right buttock, stage 4"
L89.324,"Pressure ulcer of left buttock, stage 4"
L89.304,"Pressure ulcer of unspecified buttock, stage 4"
L97.301,Non-pressure chronic ulcer of unspecified ankle limited to breakdown of skin
L97.304,Non-pressure chronic ulcer of unspecified ankle with necrosis of bone
L97.302,Non-pressure chronic ulcer of unspecified ankle with fat layer exposed
L97.303,Non-pressure chronic ulcer of unspecified ankle with necrosis of muscle
L97.203,Non-pressure chronic ulcer of unspecified calf with necrosis of muscle
L97.209,Non-pressure chronic ulcer of unspecified calf with unspecified severity
L97.204,Non-pressure chronic ulcer of unspecified calf with necrosis of bone
L97.202,Non-pressure chronic ulcer of unspecified calf with fat layer exposed
L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
L97.904,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of bone
L97.903,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with necrosis of muscle
L98.413,Non-pressure chronic ulcer of buttock with necrosis of muscle
L98.424,Non-pressure chronic ulcer of back with necrosis of bone
L98.414,Non-pressure chronic ulcer of buttock with necrosis of bone
L98.423,Non-pressure chronic ulcer of back with necrosis of muscle
L98.429,Non-pressure chronic ulcer of back with unspecified severity
L98.422,Non-pressure chronic ulcer of back with fat layer exposed
E04.9,"Nontoxic goiter, unspecified"
I83.221,Varicose veins of left lower extremity with both ulcer of thigh and inflammation
L97.129,Non-pressure chronic ulcer of left thigh with unspecified severity
I83.211,Varicose veins of right lower extremity with both ulcer of thigh and inflammation
L97.119,Non-pressure chronic ulcer of right thigh with unspecified severity
E22.9,"Hyperfunction of pituitary gland, unspecified"
T41.292?,"Poisoning by other general anesthetics, intentional self-harm, episode of care unspecified"
F16.129,"Hallucinogen abuse with intoxication, unspecified"
T41.291?,"Poisoning by other general anesthetics, accidental (unintentional), episode of care unspecified"
I83.029,Varicose veins of left lower extremity with ulcer of unspecified site
L97.929,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
Z79.620,Long term (current) use of immunosuppressive biologic
Z79.630,Long term (current) use of alkylating agent
I83.019,Varicose veins of right lower extremity with ulcer of unspecified site
L97.919,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity
M26.72,Alveolar mandibular hyperplasia
Z79.899,Other long term (current) drug therapy
E10.621,Type 1 diabetes mellitus with foot ulcer
Z79.2,Long term (current) use of antibiotics
L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity
S37.20X?,"Unspecified injury of bladder, episode of care unspecified"
N83.40,"Prolapse and hernia of ovary and fallopian tube, unspecified side"
L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity
S00.36X?,"Insect bite (nonvenomous) of nose, episode of care unspecified"
S00.269?,"Insect bite (nonvenomous) of unspecified eyelid and periocular area, episode of care unspecified"
S00.261?,"Insect bite (nonvenomous) of right eyelid and periocular area, episode of care unspecified"
S00.262?,"Insect bite (nonvenomous) of left eyelid and periocular area, episode of care unspecified"
S00.86X?,"Insect bite (nonvenomous) of other part of head, episode of care unspecified"
I83.223,Varicose veins of left lower extremity with both ulcer of ankle and inflammation
I87.012,Postthrombotic syndrome with ulcer of left lower extremity
L89.522,"Pressure ulcer of left ankle, stage 2"
L89.523,"Pressure ulcer of left ankle, stage 3"
L89.524,"Pressure ulcer of left ankle, stage 4"
L97.329,Non-pressure chronic ulcer of left ankle with unspecified severity
I83.213,Varicose veins of right lower extremity with both ulcer of ankle and inflammation
I87.011,Postthrombotic syndrome with ulcer of right lower extremity
L89.512,"Pressure ulcer of right ankle, stage 2"
L89.513,"Pressure ulcer of right ankle, stage 3"
L89.514,"Pressure ulcer of right ankle, stage 4"
L97.319,Non-pressure chronic ulcer of right ankle with unspecified severity
B26.3,Mumps pancreatitis
I70.90,Unspecified atherosclerosis
Z79.69,Long term (current) use of other immunomodulators and immunosuppressants
S40.229?,"Blister (nonthermal) of unspecified shoulder, episode of care unspecified"
P39.4,Neonatal skin infection
J96.21,Acute and chronic respiratory failure with hypoxia
J34.1,Cyst and mucocele of nose and nasal sinus
J45.31,Mild persistent asthma with (acute) exacerbation
J45.41,Moderate persistent asthma with (acute) exacerbation
J45.51,Severe persistent asthma with (acute) exacerbation
J68.1,"Pulmonary edema due to chemicals, gases, fumes and vapors"
J45.20,"Mild intermittent asthma, uncomplicated"
J45.50,"Severe persistent asthma, uncomplicated"
J45.30,"Mild persistent asthma, uncomplicated"
J45.40,"Moderate persistent asthma, uncomplicated"
J96.11,Chronic respiratory failure with hypoxia
J96.01,Acute respiratory failure with hypoxia
P28.5,Respiratory failure of newborn
J96.91,"Respiratory failure, unspecified with hypoxia"
L23.0,Allergic contact dermatitis due to metals
T85.79X?,"Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts, episode of care unspecified"
L29.3,"Anogenital pruritus, unspecified"
B35.1,Tinea unguium
L74.510,"Primary focal hyperhidrosis, axilla"
L74.511,"Primary focal hyperhidrosis, face"
L74.512,"Primary focal hyperhidrosis, palms"
L74.513,"Primary focal hyperhidrosis, soles"
J10.81,Influenza due to other identified influenza virus with encephalopathy
T49.3X4?,"Poisoning by emollients, demulcents and protectants, undetermined, episode of care unspecified"
L92.3,Foreign body granuloma of the skin and subcutaneous tissue
Z18.89,Other specified retained foreign body fragments
R22.31,"Localized swelling, mass and lump, right upper limb"
R22.32,"Localized swelling, mass and lump, left upper limb"
R22.33,"Localized swelling, mass and lump, upper limb, bilateral"
R22.30,"Localized swelling, mass and lump, unspecified upper limb"
M87.38,"Other secondary osteonecrosis, other site"
R22.43,"Localized swelling, mass and lump, lower limb, bilateral"
R22.42,"Localized swelling, mass and lump, left lower limb"
R22.41,"Localized swelling, mass and lump, right lower limb"
K13.0,Diseases of lips
R22.0,"Localized swelling, mass and lump, head"
M06.341,"Rheumatoid nodule, right hand"
M06.342,"Rheumatoid nodule, left hand"
E88.81,Metabolic syndrome
L83,Acanthosis nigricans
E34.8,Other specified endocrine disorders
E13.69,Other specified diabetes mellitus with other specified complication
L68.0,Hirsutism
N63.0,Unspecified lump in unspecified breast
H01.8,Other specified inflammations of eyelid
D86.3,Sarcoidosis of skin
L92.2,Granuloma faciale [eosinophilic granuloma of skin]
R22.1,"Localized swelling, mass and lump, neck"
Z85.841,Personal history of malignant neoplasm of brain
S60.122?,"Contusion of left index finger with damage to nail, episode of care unspecified"
S60.132?,"Contusion of left middle finger with damage to nail, episode of care unspecified"
S60.142?,"Contusion of left ring finger with damage to nail, episode of care unspecified"
S60.152?,"Contusion of left little finger with damage to nail, episode of care unspecified"
L72.3,Sebaceous cyst
C43.62,"Malignant melanoma of left upper limb, including shoulder"
S90.222?,"Contusion of left lesser toe(s) with damage to nail, episode of care unspecified"
S90.212?,"Contusion of left great toe with damage to nail, episode of care unspecified"
S60.121?,"Contusion of right index finger with damage to nail, episode of care unspecified"
S60.131?,"Contusion of right middle finger with damage to nail, episode of care unspecified"
S60.141?,"Contusion of right ring finger with damage to nail, episode of care unspecified"
S60.151?,"Contusion of right little finger with damage to nail, episode of care unspecified"
C43.61,"Malignant melanoma of right upper limb, including shoulder"
S90.221?,"Contusion of right lesser toe(s) with damage to nail, episode of care unspecified"
S90.211?,"Contusion of right great toe with damage to nail, episode of care unspecified"
R22.9,"Localized swelling, mass and lump, unspecified"
D21.0,"Benign neoplasm of connective and other soft tissue of head, face and neck"
M06.321,"Rheumatoid nodule, right elbow"
M06.322,"Rheumatoid nodule, left elbow"
J10.1,Influenza due to other identified influenza virus with other respiratory manifestations
J95.812,Postprocedural air leak
I86.8,Varicose veins of other specified sites
K74.02,"Hepatic fibrosis, advanced fibrosis"
N05.4,Unspecified nephritic syndrome with diffuse endocapillary proliferative glomerulonephritis
N05.7,Unspecified nephritic syndrome with diffuse crescentic glomerulonephritis
N05.2,Unspecified nephritic syndrome with diffuse membranous glomerulonephritis
N05.9,Unspecified nephritic syndrome with unspecified morphologic changes
J34.89,Other specified disorders of nose and nasal sinuses
J45.998,Other asthma
T39.015?,"Adverse effect of aspirin, episode of care unspecified"
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation
J44.9,"Chronic obstructive pulmonary disease, unspecified"
L98.7,Excessive and redundant skin and subcutaneous tissue
I83.009,Varicose veins of unspecified lower extremity with ulcer of unspecified site
H02.33,"Blepharochalasis right eye, unspecified eyelid"
H02.831,Dermatochalasis of right upper eyelid
H02.36,"Blepharochalasis left eye, unspecified eyelid"
H02.834,Dermatochalasis of left upper eyelid
N83.8,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament"
O03.32,Renal failure following incomplete spontaneous abortion
O03.82,Renal failure following complete or unspecified spontaneous abortion
B02.32,Zoster iridocyclitis
P78.83,Newborn esophageal reflux
G24.8,Other dystonia
G51.4,Facial myokymia
I97.711,Intraoperative cardiac arrest during other surgery
I97.88,"Other intraoperative complications of the circulatory system, not elsewhere classified"
I97.791,Other intraoperative cardiac functional disturbances during other surgery
G40.219,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus"
A17.81,Tuberculoma of brain and spinal cord
A17.0,Tuberculous meningitis
A17.82,Tuberculous meningoencephalitis
A17.9,"Tuberculosis of nervous system, unspecified"
G91.4,Hydrocephalus in diseases classified elsewhere
C55,"Malignant neoplasm of uterus, part unspecified"
L72.0,Epidermal cyst
N60.01,Solitary cyst of right breast
N60.81,Other benign mammary dysplasias of right breast
N60.02,Solitary cyst of left breast
N60.82,Other benign mammary dysplasias of left breast
M05.10,Rheumatoid lung disease with rheumatoid arthritis of unspecified site
Z31.5,Encounter for procreative genetic counseling
I15.8,Other secondary hypertension
I15.0,Renovascular hypertension
O10.019,"Pre-existing essential hypertension complicating pregnancy, unspecified trimester"
O10.03,Pre-existing essential hypertension complicating the puerperium
P29.2,Neonatal hypertension
I10,Essential (primary) hypertension
K44.1,Diaphragmatic hernia with gangrene
Z72.0,Tobacco use
M75.111,"Incomplete rotator cuff tear or rupture of right shoulder, not specified as traumatic"
Q82.1,Xeroderma pigmentosum
M00.111,"Pneumococcal arthritis, right shoulder"
M00.211,"Other streptococcal arthritis, right shoulder"
B95.5,Unspecified streptococcus as the cause of diseases classified elsewhere
M00.112,"Pneumococcal arthritis, left shoulder"
M00.212,"Other streptococcal arthritis, left shoulder"
E85.2,"Heredofamilial amyloidosis, unspecified"
M00.151,"Pneumococcal arthritis, right hip"
M00.251,"Other streptococcal arthritis, right hip"
M00.152,"Pneumococcal arthritis, left hip"
M00.252,"Other streptococcal arthritis, left hip"
M00.161,"Pneumococcal arthritis, right knee"
M00.261,"Other streptococcal arthritis, right knee"
M00.162,"Pneumococcal arthritis, left knee"
M00.262,"Other streptococcal arthritis, left knee"
M00.271,"Other streptococcal arthritis, right ankle and foot"
M00.272,"Other streptococcal arthritis, left ankle and foot"
M00.011,"Staphylococcal arthritis, right shoulder"
M00.811,"Arthritis due to other bacteria, right shoulder"
M00.812,"Arthritis due to other bacteria, left shoulder"
B95.8,Unspecified staphylococcus as the cause of diseases classified elsewhere
M00.012,"Staphylococcal arthritis, left shoulder"
M00.021,"Staphylococcal arthritis, right elbow"
M00.821,"Arthritis due to other bacteria, right elbow"
M00.022,"Staphylococcal arthritis, left elbow"
M00.822,"Arthritis due to other bacteria, left elbow"
M00.831,"Arthritis due to other bacteria, right wrist"
M00.031,"Staphylococcal arthritis, right wrist"
M00.832,"Arthritis due to other bacteria, left wrist"
M00.032,"Staphylococcal arthritis, left wrist"
M00.841,"Arthritis due to other bacteria, right hand"
M00.842,"Arthritis due to other bacteria, left hand"
M00.051,"Staphylococcal arthritis, right hip"
M00.851,"Arthritis due to other bacteria, right hip"
M00.852,"Arthritis due to other bacteria, left hip"
M00.052,"Staphylococcal arthritis, left hip"
M00.861,"Arthritis due to other bacteria, right knee"
A18.02,Tuberculous arthritis of other joints
M00.061,"Staphylococcal arthritis, right knee"
M00.862,"Arthritis due to other bacteria, left knee"
M00.062,"Staphylococcal arthritis, left knee"
M00.071,"Staphylococcal arthritis, right ankle and foot"
M00.871,"Arthritis due to other bacteria, right ankle and foot"
M00.872,"Arthritis due to other bacteria, left ankle and foot"
M00.072,"Staphylococcal arthritis, left ankle and foot"
M00.9,"Pyogenic arthritis, unspecified"
M01.X31,Direct infection of right wrist in infectious and parasitic diseases classified elsewhere
M01.X32,Direct infection of left wrist in infectious and parasitic diseases classified elsewhere
N60.11,Diffuse cystic mastopathy of right breast
N60.12,Diffuse cystic mastopathy of left breast
N60.41,Mammary duct ectasia of right breast
M01.X72,Direct infection of left ankle and foot in infectious and parasitic diseases classified elsewhere
M01.X71,Direct infection of right ankle and foot in infectious and parasitic diseases classified elsewhere
N60.91,Unspecified benign mammary dysplasia of right breast
N60.42,Mammary duct ectasia of left breast
N98.0,Infection associated with artificial insemination
N98.9,"Complication associated with artificial fertilization, unspecified"
O30.90,"Multiple gestation, unspecified, unspecified trimester"
M05.871,Other rheumatoid arthritis with rheumatoid factor of right ankle and foot
M05.872,Other rheumatoid arthritis with rheumatoid factor of left ankle and foot
Q52.3,Imperforate hymen
Q52.4,Other congenital malformations of vagina
N76.1,Subacute and chronic vaginitis
N60.92,Unspecified benign mammary dysplasia of left breast
Q51.811,Hypoplasia of uterus
Q51.821,Hypoplasia of cervix
M08.071,"Unspecified juvenile rheumatoid arthritis, right ankle and foot"
M06.871,"Other specified rheumatoid arthritis, right ankle and foot"
M06.072,"Rheumatoid arthritis without rheumatoid factor, left ankle and foot"
M08.072,"Unspecified juvenile rheumatoid arthritis, left ankle and foot"
M06.872,"Other specified rheumatoid arthritis, left ankle and foot"
M08.021,"Unspecified juvenile rheumatoid arthritis, right elbow"
M06.821,"Other specified rheumatoid arthritis, right elbow"
M05.822,Other rheumatoid arthritis with rheumatoid factor of left elbow
M06.021,"Rheumatoid arthritis without rheumatoid factor, right elbow"
M05.821,Other rheumatoid arthritis with rheumatoid factor of right elbow
M08.022,"Unspecified juvenile rheumatoid arthritis, left elbow"
M06.822,"Other specified rheumatoid arthritis, left elbow"
M06.022,"Rheumatoid arthritis without rheumatoid factor, left elbow"
M06.9,"Rheumatoid arthritis, unspecified"
M06.071,"Rheumatoid arthritis without rheumatoid factor, right ankle and foot"
M05.842,Other rheumatoid arthritis with rheumatoid factor of left hand
M06.042,"Rheumatoid arthritis without rheumatoid factor, left hand"
M06.041,"Rheumatoid arthritis without rheumatoid factor, right hand"
M05.841,Other rheumatoid arthritis with rheumatoid factor of right hand
M08.042,"Unspecified juvenile rheumatoid arthritis, left hand"
M06.842,"Other specified rheumatoid arthritis, left hand"
M08.051,"Unspecified juvenile rheumatoid arthritis, right hip"
M06.851,"Other specified rheumatoid arthritis, right hip"
M05.852,Other rheumatoid arthritis with rheumatoid factor of left hip
M06.052,"Rheumatoid arthritis without rheumatoid factor, left hip"
M05.851,Other rheumatoid arthritis with rheumatoid factor of right hip
M08.052,"Unspecified juvenile rheumatoid arthritis, left hip"
M06.852,"Other specified rheumatoid arthritis, left hip"
D27.0,Benign neoplasm of right ovary
D27.1,Benign neoplasm of left ovary
M05.862,Other rheumatoid arthritis with rheumatoid factor of left knee
M06.062,"Rheumatoid arthritis without rheumatoid factor, left knee"
M06.061,"Rheumatoid arthritis without rheumatoid factor, right knee"
M05.861,Other rheumatoid arthritis with rheumatoid factor of right knee
M06.862,"Other specified rheumatoid arthritis, left knee"
C57.01,Malignant neoplasm of right fallopian tube
C57.02,Malignant neoplasm of left fallopian tube
M08.031,"Unspecified juvenile rheumatoid arthritis, right wrist"
M06.831,"Other specified rheumatoid arthritis, right wrist"
M06.031,"Rheumatoid arthritis without rheumatoid factor, right wrist"
M08.032,"Unspecified juvenile rheumatoid arthritis, left wrist"
M06.832,"Other specified rheumatoid arthritis, left wrist"
M06.032,"Rheumatoid arthritis without rheumatoid factor, left wrist"
C56.1,Malignant neoplasm of right ovary
C56.2,Malignant neoplasm of left ovary
M06.879,"Other specified rheumatoid arthritis, unspecified ankle and foot"
M08.041,"Unspecified juvenile rheumatoid arthritis, right hand"
M06.841,"Other specified rheumatoid arthritis, right hand"
M06.051,"Rheumatoid arthritis without rheumatoid factor, right hip"
M06.861,"Other specified rheumatoid arthritis, right knee"
Q51.7,Congenital fistulae between uterus and digestive and urinary tracts
N85.01,Benign endometrial hyperplasia
M21.931,Unspecified acquired deformity of right forearm
M21.932,Unspecified acquired deformity of left forearm
M21.941,"Unspecified acquired deformity of hand, right hand"
M21.942,"Unspecified acquired deformity of hand, left hand"
M21.6X1,Other acquired deformities of right foot
Z86.001,Personal history of in-situ neoplasm of cervix uteri
M21.6X2,Other acquired deformities of left foot
M70.21,"Olecranon bursitis, right elbow"
M10.9,"Gout, unspecified"
M70.22,"Olecranon bursitis, left elbow"
M1A.0710,"Idiopathic chronic gout, right ankle and foot, without tophus (tophi)"
M1A.0720,"Idiopathic chronic gout, left ankle and foot, without tophus (tophi)"
M11.211,"Other chondrocalcinosis, right shoulder"
M11.212,"Other chondrocalcinosis, left shoulder"
M11.221,"Other chondrocalcinosis, right elbow"
M11.222,"Other chondrocalcinosis, left elbow"
E75.6,"Lipid storage disorder, unspecified"
M11.231,"Other chondrocalcinosis, right wrist"
M11.131,"Familial chondrocalcinosis, right wrist"
M11.232,"Other chondrocalcinosis, left wrist"
N90.818,Other female genital mutilation status
M11.132,"Familial chondrocalcinosis, left wrist"
M11.241,"Other chondrocalcinosis, right hand"
M11.242,"Other chondrocalcinosis, left hand"
M11.251,"Other chondrocalcinosis, right hip"
M11.252,"Other chondrocalcinosis, left hip"
M11.261,"Other chondrocalcinosis, right knee"
M11.161,"Familial chondrocalcinosis, right knee"
M11.262,"Other chondrocalcinosis, left knee"
M11.162,"Familial chondrocalcinosis, left knee"
O99.02,Anemia complicating childbirth
D56.9,"Thalassemia, unspecified"
D64.9,"Anemia, unspecified"
S42.021?,"Displaced fracture of shaft of right clavicle, episode of care unspecified"
S42.031?,"Displaced fracture of lateral end of right clavicle, episode of care unspecified"
S42.011?,"Anterior displaced fracture of sternal end of right clavicle, episode of care unspecified"
S42.001?,"Fracture of unspecified part of right clavicle, episode of care unspecified"
M11.271,"Other chondrocalcinosis, right ankle and foot"
M11.272,"Other chondrocalcinosis, left ankle and foot"
O99.310,"Alcohol use complicating pregnancy, unspecified trimester"
F10.20,"Alcohol dependence, uncomplicated"
P54.5,Neonatal cutaneous hemorrhage
N25.89,Other disorders resulting from impaired renal tubular function
P74.0,Late metabolic acidosis of newborn
P84,Other problems with newborn
O99.52,Diseases of the respiratory system complicating childbirth
J45.909,"Unspecified asthma, uncomplicated"
O99.844,Bariatric surgery status complicating childbirth
O99.344,Other mental disorders complicating childbirth
F41.9,"Anxiety disorder, unspecified"
K58.0,Irritable bowel syndrome with diarrhea
M12.571,"Traumatic arthropathy, right ankle and foot"
M12.572,"Traumatic arthropathy, left ankle and foot"
O99.42,Diseases of the circulatory system complicating childbirth
I35.9,"Nonrheumatic aortic valve disorder, unspecified"
K50.018,Crohn's disease of small intestine with other complication
M35.89,Other specified systemic involvement of connective tissue
G03.9,"Meningitis, unspecified"
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere
I79.1,Aortitis in diseases classified elsewhere
H57.9,Unspecified disorder of eye and adnexa
H02.31,Blepharochalasis right upper eyelid
H02.34,Blepharochalasis left upper eyelid
H02.32,Blepharochalasis right lower eyelid
H02.35,Blepharochalasis left lower eyelid
Z86.018,Personal history of other benign neoplasm
O34.40,"Maternal care for other abnormalities of cervix, unspecified trimester"
N72,Inflammatory disease of cervix uteri
M19.011,"Primary osteoarthritis, right shoulder"
M19.012,"Primary osteoarthritis, left shoulder"
I49.9,"Cardiac arrhythmia, unspecified"
M94.211,"Chondromalacia, right shoulder"
M11.011,"Hydroxyapatite deposition disease, right shoulder"
M94.212,"Chondromalacia, left shoulder"
O34.599,"Maternal care for other abnormalities of gravid uterus, unspecified trimester"
D49.59,Neoplasm of unspecified behavior of other genitourinary organ
O35.9XX0,"Maternal care for (suspected) fetal abnormality and damage, unspecified, not applicable or unspecified"
M19.90,"Unspecified osteoarthritis, unspecified site"
M11.012,"Hydroxyapatite deposition disease, left shoulder"
M19.171,"Post-traumatic osteoarthritis, right ankle and foot"
M1A.0711,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)"
M19.071,"Primary osteoarthritis, right ankle and foot"
M19.072,"Primary osteoarthritis, left ankle and foot"
M19.172,"Post-traumatic osteoarthritis, left ankle and foot"
M1A.0721,"Idiopathic chronic gout, left ankle and foot, with tophus (tophi)"
O91.13,Abscess of breast associated with lactation
O29.119,"Cardiac arrest due to anesthesia during pregnancy, unspecified trimester"
O9A.12,Malignant neoplasm complicating childbirth
C80.1,"Malignant (primary) neoplasm, unspecified"
M08.911,"Juvenile arthritis, unspecified, right shoulder"
M13.811,"Other specified arthritis, right shoulder"
M08.912,"Juvenile arthritis, unspecified, left shoulder"
M13.812,"Other specified arthritis, left shoulder"
M75.41,Impingement syndrome of right shoulder
M67.311,"Transient synovitis, right shoulder"
M02.211,"Postimmunization arthropathy, right shoulder"
M75.42,Impingement syndrome of left shoulder
M67.312,"Transient synovitis, left shoulder"
M02.212,"Postimmunization arthropathy, left shoulder"
O98.72,Human immunodeficiency virus [HIV] disease complicating childbirth
M08.811,"Other juvenile arthritis, right shoulder"
M08.812,"Other juvenile arthritis, left shoulder"
M08.922,"Juvenile arthritis, unspecified, left elbow"
M13.822,"Other specified arthritis, left elbow"
M08.921,"Juvenile arthritis, unspecified, right elbow"
M13.821,"Other specified arthritis, right elbow"
M77.11,"Lateral epicondylitis, right elbow"
M93.821,"Other specified osteochondropathies, right upper arm"
M77.12,"Lateral epicondylitis, left elbow"
M93.822,"Other specified osteochondropathies, left upper arm"
M08.931,"Juvenile arthritis, unspecified, right wrist"
M13.831,"Other specified arthritis, right wrist"
M10.032,"Idiopathic gout, left wrist"
M08.932,"Juvenile arthritis, unspecified, left wrist"
M13.832,"Other specified arthritis, left wrist"
M10.031,"Idiopathic gout, right wrist"
M08.941,"Juvenile arthritis, unspecified, right hand"
M13.841,"Other specified arthritis, right hand"
M08.942,"Juvenile arthritis, unspecified, left hand"
M13.842,"Other specified arthritis, left hand"
M67.351,"Transient synovitis, right hip"
M08.951,"Juvenile arthritis, unspecified, right hip"
M13.851,"Other specified arthritis, right hip"
M67.352,"Transient synovitis, left hip"
M08.952,"Juvenile arthritis, unspecified, left hip"
M13.852,"Other specified arthritis, left hip"
M08.962,"Juvenile arthritis, unspecified, left knee"
M13.862,"Other specified arthritis, left knee"
M08.961,"Juvenile arthritis, unspecified, right knee"
M13.861,"Other specified arthritis, right knee"
M08.972,"Juvenile arthritis, unspecified, left ankle and foot"
M13.872,"Other specified arthritis, left ankle and foot"
M13.871,"Other specified arthritis, right ankle and foot"
M08.971,"Juvenile arthritis, unspecified, right ankle and foot"
M65.871,"Other synovitis and tenosynovitis, right ankle and foot"
M67.371,"Transient synovitis, right ankle and foot"
M65.872,"Other synovitis and tenosynovitis, left ankle and foot"
M67.372,"Transient synovitis, left ankle and foot"
O99.12,Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating childbirth
D68.9,"Coagulation defect, unspecified"
O99.119,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, unspecified trimester"
O74.3,Central nervous system complications of anesthesia during labor and delivery
T88.59X?,"Other complications of anesthesia, episode of care unspecified"
C58,Malignant neoplasm of placenta
O9A.119,"Malignant neoplasm complicating pregnancy, unspecified trimester"
I74.5,Embolism and thrombosis of iliac artery
O98.82,Other maternal infectious and parasitic diseases complicating childbirth
O92.29,Other disorders of breast associated with pregnancy and the puerperium
O26.62,Liver and biliary tract disorders in childbirth
K83.1,Obstruction of bile duct
O91.23,Nonpurulent mastitis associated with lactation
M25.475,"Effusion, left foot"
M25.474,"Effusion, right foot"
O99.214,Obesity complicating childbirth
M21.621,Bunionette of right foot
M21.622,Bunionette of left foot
O07.36,Cardiac arrest following failed attempted termination of pregnancy
O47.00,"False labor before 37 completed weeks of gestation, unspecified trimester"
M20.31,"Hallux varus (acquired), right foot"
M20.32,"Hallux varus (acquired), left foot"
O99.354,Diseases of the nervous system complicating childbirth
O34.80,"Maternal care for other abnormalities of pelvic organs, unspecified trimester"
N83.209,"Unspecified ovarian cyst, unspecified side"
M20.41,"Other hammer toe(s) (acquired), right foot"
M20.42,"Other hammer toe(s) (acquired), left foot"
M20.5X1,"Other deformities of toe(s) (acquired), right foot"
O08.0,Genital tract and pelvic infection following ectopic and molar pregnancy
O00.90,Unspecified ectopic pregnancy without intrauterine pregnancy
O08.82,Sepsis following ectopic and molar pregnancy
O08.3,Shock following ectopic and molar pregnancy
R65.21,Severe sepsis with septic shock
M20.5X2,"Other deformities of toe(s) (acquired), left foot"
O08.83,Urinary tract infection following an ectopic and molar pregnancy
O25.2,Malnutrition in childbirth
M21.061,"Valgus deformity, not elsewhere classified, right knee"
O64.0XX0,"Obstructed labor due to incomplete rotation of fetal head, not applicable or unspecified"
O65.4,"Obstructed labor due to fetopelvic disproportion, unspecified"
M21.062,"Valgus deformity, not elsewhere classified, left knee"
O65.9,"Obstructed labor due to maternal pelvic abnormality, unspecified"
O75.82,"Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section"
O45.019,"Premature separation of placenta with afibrinogenemia, unspecified trimester"
M21.961,Unspecified acquired deformity of right lower leg
M21.962,Unspecified acquired deformity of left lower leg
O92.6,Galactorrhea
O36.8290,"Fetal anemia and thrombocytopenia, unspecified trimester, not applicable or unspecified"
O15.1,Eclampsia complicating labor
O10.92,Unspecified pre-existing hypertension complicating childbirth
M21.00,"Valgus deformity, not elsewhere classified, unspecified site"
O08.4,Renal failure following ectopic and molar pregnancy
M21.10,"Varus deformity, not elsewhere classified, unspecified site"
I51.9,"Heart disease, unspecified"
O42.02,"Full-term premature rupture of membranes, onset of labor within 24 hours of rupture"
O42.12,"Full-term premature rupture of membranes, onset of labor more than 24 hours following rupture"
O42.92,"Full-term premature rupture of membranes, unspecified as to length of time between rupture and onset of labor"
M22.2X1,"Patellofemoral disorders, right knee"
M22.2X2,"Patellofemoral disorders, left knee"
O24.429,"Gestational diabetes mellitus in childbirth, unspecified control"
M23.641,Other spontaneous disruption of lateral collateral ligament of right knee
M23.631,Other spontaneous disruption of medial collateral ligament of right knee
O98.22,Gonorrhea complicating childbirth
A54.9,"Gonococcal infection, unspecified"
M23.611,Other spontaneous disruption of anterior cruciate ligament of right knee
M23.612,Other spontaneous disruption of anterior cruciate ligament of left knee
